respid,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)"
17889,0.0625635103897081,-3.643611854204419,-1.0218701970687962,-1.329313630920413,0.1054615369934601,-5.069742273151997,-2.570491926498126,-1.0601680907228457,0.2338249302436824,-7.029619586546066,-4.91837004614883,-3.923079784865575
17893,0.0728755745490562,-4.130461303040013,-1.4540885542194677,-1.6137222562778832,0.0954201848690285,-5.046529825424335,-2.3786446321394887,-0.5697479209788114,0.1457802133289953,-5.7671643972783775,-3.730250008537074,-2.331721206561333
17947,0.0706145881439828,-3.441012296948889,-0.7330349513951347,-0.941522839523484,0.0972531191928668,-4.939745632777099,-2.347050689918561,-0.4598748135880722,0.1765688474045924,-6.682808667361718,-4.431839037929161,-3.0468001329455725
18002,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
18011,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
18028,0.0805906002054028,-3.089815432831277,-0.4408924471270766,-0.5457984603875715,0.1086239013525946,-4.389307562626131,-1.8704582854637075,-0.027539981439282,0.1767361199688061,-5.653030363064467,-3.433478237470148,-2.042901536926232
18060,0.0724300191076357,-3.304419245423412,-0.6862310616726055,-0.837813005124401,0.1017232459250506,-4.888787536513078,-2.384737486910221,-0.3985149464601409,0.1682701216427188,-6.053703102919664,-3.8826544455165553,-2.4178125492656264
18063,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
18087,0.0618420070942298,-2.4062739751139675,0.2959348911240107,0.1014151013501555,0.131165370513777,-3.801668136490471,-1.158946467813183,0.6497331905875897,0.2163124390659125,-5.864392286026434,-3.637231210340597,-1.742895136853183
18121,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
18152,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
18160,0.0637206205178551,-3.889984702388177,-1.186270030670891,-1.4272218363292644,0.0959072650576788,-4.91612504506143,-2.343588773631532,-0.6914114255364103,0.157168186452292,-5.765132752399215,-3.817401205370996,-2.4206558625185592
18205,0.0698392310554226,-3.105381285029619,-0.4594497780984423,-0.4971122941535564,0.1059502239863363,-4.965501747855472,-2.421708510281717,-0.6497387286980242,0.2115423891671543,-6.945962201551223,-4.660569945852217,-3.382218930556124
18209,0.0725233469628441,-3.5141455334168668,-0.7949639903572945,-1.1764336454876667,0.0980709896176266,-4.407764443850788,-1.8375093682269104,-0.3156913130068906,0.1185542525045232,-4.113548907941279,-2.1833742970070595,-0.8910159890041216
18212,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
18241,0.073960127015193,-3.43679076628766,-0.6958231174225706,-0.9596691707989924,0.1021252728338533,-4.946855433252438,-2.3514503762847303,-0.5538482971321462,0.1817718717557101,-6.500005282168606,-4.232440886603558,-2.911239240848442
18262,0.0808591578789642,-3.4802617566387037,-0.7885749654599646,-1.0166212204654592,0.1001896101194928,-4.197943967694946,-1.7388602941079303,-0.2487391508212276,0.2068005017331413,-5.573313269224879,-3.4373451531837675,-2.464329804365914
18267,0.075989995293027,-3.4251608680232986,-0.7344363634230072,-0.8875352481868175,0.1018772096318864,-5.057605684732066,-2.3848337375995268,-0.611382435878549,0.2154812351596,-7.139627133114191,-4.832044811097837,-3.561768722451868
18281,0.0722001073908061,-3.3912854410768105,-0.732101533480761,-0.6288766028371998,0.0963751392112441,-4.846431807876159,-2.2713515762781435,-0.3629837981737303,0.1952907344002826,-6.9492227558513,-4.710605797670961,-3.2540220948290246
18400,0.068303549902347,-2.431005351956324,0.2168145232087813,0.3083122015681512,0.1084253210696181,-4.12528450646577,-1.635315212551112,0.3582745985917176,0.211181377967268,-6.403576230215444,-3.833367760619139,-2.411738101725177
18403,0.0673874673728067,-3.791877512916173,-1.02198309492344,-1.2119877871735405,0.091412197497129,-4.608137058170378,-1.9246570520693915,-0.289282998936066,0.1631598925019537,-6.143549554820268,-3.954297229197072,-2.615020960790818
18503,0.0793331372748855,-3.1488841504171328,-0.4785329987336494,-0.5565725622272922,0.1085577618935377,-4.468388043853718,-1.83496778401018,-0.0940943508962532,0.1845114726697701,-5.936411107212012,-3.6708954409756727,-2.2156949208938914
18604,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
18636,0.0770497573866404,-3.492631980280912,-0.8014578185397746,-0.9660732722898884,0.103492790073388,-5.048930073215209,-2.4206009631318137,-0.7062699414773972,0.2186541146357322,-7.169363184149178,-4.906930557497769,-3.7241614200966886
