respid,age,totinc,retinc,hlth,atr_w,atr_r
6492,65,41431.99102570342,41431.99102570342,1,0.16687982317476047,0.16687982317476047
6502,70,62386.060513544675,81831.72174688535,1,0.13889133257024655,0.02107391762667878
6511,64,35655.285257380274,35655.285257380274,1,0.034255857999265726,0.034255857999265726
6524,63,49596.73841910248,49596.73841910248,1,0.10107829347289923,0.10107829347289923
6530,63,24712.421603993862,24712.421603993862,1,0.09842931704229808,0.09842931704229808
6536,64,35673.576564593604,35673.576564593604,1,0.09321596951148066,0.09321596951148066
6570,69,43896.85458662953,17000.0,1,0.1644371136671444,0.0
6578,70,53800.71698632445,53800.71698632445,1,0.11813778009746398,0.11813778009746398
6587,61,9702.470392814741,15600.0,1,0.10799957453774763,0.0
6611,66,45906.546679260486,45906.546679260486,1,0.09001242486064295,0.09001242486064295
6623,62,31416.228739200713,22000.0,1,0.09352095122335502,0.0
6629,69,13499.269072944126,13499.269072944126,1,1.804738821868972e-05,1.804738821868972e-05
6631,64,44512.61780455341,44512.61780455341,1,0.0025316357251168133,0.0025316357251168133
6638,70,38925.13595931213,38925.13595931213,1,0.11772211019958889,0.11772211019958889
6656,62,34036.61904072951,34036.61904072951,1,0.1139111172186659,0.1139111172186659
6673,66,14300.0,14300.0,1,0.0,0.0
6678,69,35002.07847556819,35002.07847556819,1,0.021379553793300542,0.021379553793300542
6697,65,51177.88396814677,51177.88396814677,1,0.18047797827918705,0.18047797827918705
6712,61,20290.0,18600.0,1,0.0,0.0
6713,64,44283.116207719526,49180.215632725616,1,0.11398685785790438,0.10688416076400566
6716,66,37826.352655026145,41612.96476152086,3,0.15350435940632903,0.1207551290079405
6717,60,60990.18679490787,18923.427597632966,1,0.15907106825652575,0.06661493194072382
6729,65,40566.704210744334,40566.704210744334,1,0.03471089757876178,0.03471089757876178
6740,60,39803.58745851281,33478.94528489885,1,0.05478665047481398,0.012610610971414466
6747,65,36277.338353001,36277.338353001,1,0.16673706921990317,0.16673706921990317
