respid,female,college,nkids,anykids,university,pexhaust,pbeq,pnhome
4205,1,1.0,0.0,0,0.0,0.0,1.0,0.7
4210,0,0.0,0.0,0,1.0,0.0,0.0,0.1
4212,0,1.0,1.0,1,0.0,,,0.75
4221,0,0.0,0.0,0,1.0,1.0,0.0,0.0
4231,0,1.0,2.0,1,0.0,0.25,0.9,0.3
4232,0,1.0,3.0,1,0.0,0.0,0.75,0.4
4249,0,0.0,3.0,1,1.0,0.5,1.0,0.8
4252,0,0.0,2.0,1,1.0,0.0,1.0,0.9
4264,0,0.0,1.0,1,0.0,,,
4270,0,1.0,3.0,1,0.0,1.0,0.9,0.05
4272,0,1.0,2.0,1,0.0,1.0,1.0,0.0
4273,0,0.0,2.0,1,1.0,0.2,0.8,0.5
4279,0,0.0,2.0,1,0.0,0.3,0.2,0.1
4292,1,1.0,0.0,0,0.0,0.0,0.5,0.75
4309,1,0.0,1.0,1,0.0,1.0,1.0,0.75
4334,1,0.0,2.0,1,1.0,,,0.1
4352,0,0.0,2.0,1,1.0,0.0,0.99,0.2
4369,0,1.0,0.0,0,0.0,0.8,1.0,0.2
4389,0,0.0,3.0,1,0.0,0.9,0.75,1.0
4392,0,0.0,2.0,1,1.0,0.9,,0.5
4394,1,1.0,2.0,1,0.0,0.5,0.5,1.0
4412,1,0.0,3.0,1,1.0,,1.0,0.1
4503,1,0.0,2.0,1,0.0,0.85,0.5,0.65
4537,1,0.0,0.0,0,0.0,0.75,0.0,
4542,0,0.0,2.0,1,1.0,0.5,1.0,0.65
4547,1,0.0,2.0,1,0.0,1.0,1.0,
4551,0,0.0,2.0,1,0.0,0.0,,0.5
4585,0,0.0,2.0,1,0.0,1.0,0.5,0.0
4587,1,0.0,0.0,0,0.0,0.9,,
4589,0,0.0,2.0,1,1.0,,1.0,
4620,0,0.0,1.0,1,0.0,,,0.0
4622,0,0.0,4.0,1,1.0,0.0,1.0,0.01
4654,0,0.0,2.0,1,1.0,0.0,1.0,0.0
