respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,share_rrsp
12505,2341.501344690914,4,1,1,336467.6360139225,0.0,1416628.4399637561,0.8655279669034289
12529,688.7628253365825,4,1,1,400000.0,190000.0,750000.0,1.0
12549,4398.058351676,3,1,1,499934.2360633251,300000.0,2000000.0,0.7491477953173701
12557,949.5838434120577,11,1,1,250000.0,0.0,600000.0,0.8
12564,3306.360982332038,9,1,1,310000.0,0.0,400000.0,0.967741935483871
12647,3084.2107633132296,4,1,1,500000.0,0.0,640000.0,1.0
12662,2341.501344690914,4,1,1,21552.47491518567,0.0,350000.0,0.0
12672,688.7628253365825,5,1,1,423000.0,0.0,425000.0,0.9456264775413712
12683,2341.501344690914,5,1,1,0.0,319000.0,400000.0,0.0
12700,3084.2107633132296,5,1,1,600000.0,0.0,340000.0,0.8333333333333334
12725,967.2736886617231,2,1,1,550000.0,0.0,530000.0,0.7272727272727273
12760,967.2736886617231,2,0,1,372276.13609588647,0.0,300000.0,1.0
12767,3306.360982332038,2,1,1,22000.0,0.0,325000.0,0.45454545454545453
12794,4427.977115973115,3,1,1,335493.6452285946,0.0,1494679.5595856921,0.621453336579695
12803,1278.4983244321725,1,0,1,0.0,0.0,1095416.9330515503,0.0
12825,3306.360982332038,2,1,1,90000.0,0.0,200000.0,0.5555555555555556
12839,3922.9483782185284,1,0,1,130747.39339934537,0.0,700000.0,0.41855076783109796
12861,1278.4983244321725,1,1,1,150000.0,0.0,1000000.0,1.0
12871,1278.4983244321725,1,1,1,133306.55188860855,0.0,1005000.0,0.09981918893024518
12880,897.8346892314378,6,1,1,350000.0,0.0,1300000.0,0.7142857142857143
12886,4942.474513256949,7,0,1,465000.0,0.0,650000.0,0.8602150537634409
12913,1278.4983244321725,6,1,1,383952.2755183236,0.0,400000.0,0.8567530302411889
12972,1278.4983244321725,1,0,1,34000.0,580000.0,900000.0,0.8823529411764706
13012,1278.4983244321725,1,1,1,400000.0,0.0,1500000.0,0.875
13019,1278.4983244321725,1,1,1,550000.0,0.0,955730.720273775,0.9090909090909091
13033,1278.4983244321725,1,1,1,430000.0,0.0,500000.0,0.5813953488372093
13042,4851.619932747694,9,1,1,630000.0,0.0,950000.0,0.7936507936507936
13046,1278.4983244321725,1,0,1,155000.0,0.0,480000.0,0.6451612903225806
13049,967.2736886617231,2,1,1,625000.0,0.0,500000.0,0.8
13062,4942.474513256949,1,0,1,453438.92214500136,0.0,913534.3734600134,0.5412057412462961
13065,4942.474513256949,1,1,1,430000.0,0.0,900000.0,1.0
13081,1321.982893522959,2,1,1,45501.48884018493,0.0,800000.0,1.0
13082,967.2736886617231,9,1,1,75000.0,0.0,300000.0,0.5333333333333333
13101,1321.982893522959,2,0,1,125000.0,0.0,275000.0,0.6
13109,1321.982893522959,9,1,1,350000.0,0.0,570000.0,0.7142857142857143
13113,967.2736886617231,2,1,1,375000.0,0.0,400000.0,0.9333333333333333
13137,3306.360982332038,2,1,1,225030.0,0.0,350000.0,0.9998666844420744
13138,1321.982893522959,9,1,1,175000.0,0.0,269000.0,0.9142857142857143
13170,3306.360982332038,2,1,1,160000.0,0.0,249000.0,0.9375
13230,3306.360982332038,2,1,1,425000.0,150000.0,450000.0,0.9411764705882353
13338,3306.360982332038,2,1,1,615000.0,0.0,650000.0,0.8130081300813008
13356,967.2736886617231,2,1,1,455000.0,71850.0,380000.0,0.989010989010989
13432,967.2736886617231,2,1,1,10000.0,0.0,600000.0,1.0
13459,967.2736886617231,2,1,1,625000.0,0.0,400000.0,0.8
13534,1321.982893522959,2,0,1,100100.0,37000.0,280000.0,0.999000999000999
13570,1321.982893522959,2,0,1,230000.0,13000.0,2000000.0,0.8695652173913043
13596,1321.982893522959,9,1,1,220000.0,280000.0,1400000.0,0.5454545454545454
13719,4853.275748785212,8,1,1,459949.158825687,27000.0,280000.0,0.6522460020710571
13733,8497.513381368772,6,1,1,180000.0,0.0,600000.0,0.2777777777777778
13777,897.8346892314378,7,0,1,55000.0,0.0,525000.0,0.0
13795,4942.474513256949,1,1,1,52000.0,0.0,750000.0,0.4230769230769231
13866,4398.058351676,3,0,1,0.0,286703.2858156291,260000.0,0.0
13867,999.5341708562004,4,1,1,155000.0,150000.0,300000.0,0.8064516129032258
13896,999.5341708562004,5,0,1,276000.0,0.0,310000.0,0.8333333333333334
13902,8497.513381368772,1,1,1,0.0,0.0,600000.0,0.0
13926,1321.982893522959,9,1,1,250000.0,140000.0,575000.0,1.0
13930,897.8346892314378,1,1,1,650000.0,0.0,1000000.0,0.7692307692307693
13967,1278.4983244321725,1,0,1,230000.0,0.0,450000.0,0.8695652173913043
13990,1321.982893522959,2,0,1,150000.0,0.0,260000.0,0.8333333333333334
14001,1278.4983244321725,1,0,1,456000.0,0.0,350000.0,0.8771929824561403
14017,1278.4983244321725,1,1,1,179729.87568707272,0.0,900000.0,0.8396701558401994
14024,3922.9483782185284,1,0,1,110082.89089117252,0.0,1291385.1991868396,0.90915936237643
14027,11913.367002499095,3,1,1,50000.0,0.0,2000000.0,0.0
14051,3306.360982332038,9,1,1,175000.0,0.0,300000.0,0.8571428571428571
14085,688.7628253365825,4,1,1,190000.0,0.0,155000.0,0.631578947368421
14110,3084.2107633132296,4,0,1,0.0,0.0,210000.0,0.0
14115,3084.2107633132296,5,1,1,660000.0,0.0,400000.0,0.7575757575757576
14127,4853.275748785212,8,0,1,75000.0,0.0,200000.0,0.8
14134,4942.474513256949,6,1,1,239526.2524089453,0.0,250000.0,0.49639242701525504
14147,688.7628253365825,5,1,1,278000.0,0.0,360000.0,0.6474820143884892
14179,4942.474513256949,1,1,1,5000.0,322000.0,600000.0,1.0
14188,9964.177008128749,2,1,1,500000.0,0.0,400000.0,1.0
14196,999.5341708562004,4,1,1,100000.0,0.0,450000.0,0.5
14211,897.8346892314378,1,0,1,700000.0,0.0,500000.0,0.2857142857142857
14219,3084.2107633132296,4,0,1,0.0,208000.0,265000.0,0.0
14234,3027.395677984212,4,1,1,150000.0,120000.0,500000.0,1.0
